juris_id,ecozone,canfi_species,genus,species,variety,a,b,volm,count,rmse
AB,5,105,PICE,GLA,NA,0.4656486298,0.9774880674,648.11789774,403,4.1208626983
AB,5,200,PINU,SPP,NA,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,5,203,PINU,BAN,NA,0.4237196182,1.027396126,228.61569283,30,1.6787929615
AB,5,204,PINU,CON,NA,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,5,204,PINU,CON,LAT,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,5,216,PINU,MUR,NA,0.6186204702,0.9446451189,627.71148981,759,4.1452955764
AB,5,300,ABIE,SPP,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,5,302,ABIE,BAL,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,5,500,PSEU,MEN,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,5,500,PSEU,MEN,MEN,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,5,500,PSEU,MEN,GLA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,5,500,PSEU,SPP,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,5,600,LARI,SPP,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,5,601,LARI,DEC,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,5,602,LARI,LAR,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,5,1200,POPU,SPP,NA,0.5081216409,0.9724404427,802.89670489,247,2.9715351777
AB,5,1201,POPU,TRE,NA,0.5081216409,0.9724404427,802.89670489,247,2.9715351777
AB,5,1203,POPU,BAL,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,5,1203,POPU,BAL,BAL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,5,1204,POPU,TRI,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,5,1205,POPU,DEL,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,5,1205,POPU,DEL,DEL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,5,1214,POPU,AGU,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,5,1303,BETU,PAP,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,5,1303,BETU,PAP,PAP,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,6,100,PICE,SPP,NA,0.4656486298,0.9774880674,648.11789774,403,4.1208626983
AB,6,101,PICE,MAR,NA,0.5810778741,0.9600529769,392.98012476,81,2.1295139966
AB,6,105,PICE,GLA,NA,0.4656486298,0.9774880674,648.11789774,403,4.1208626983
AB,6,200,PINU,SPP,NA,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,6,203,PINU,BAN,NA,0.4237196182,1.027396126,228.61569283,30,1.6787929615
AB,6,204,PINU,CON,NA,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,6,204,PINU,CON,LAT,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,6,216,PINU,MUR,NA,0.6186204702,0.9446451189,627.71148981,759,4.1452955764
AB,6,300,ABIE,SPP,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,6,302,ABIE,BAL,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,6,500,PSEU,MEN,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,6,500,PSEU,MEN,MEN,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,6,500,PSEU,MEN,GLA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,6,500,PSEU,SPP,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,6,600,LARI,SPP,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,6,601,LARI,DEC,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,6,602,LARI,LAR,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,6,1200,POPU,SPP,NA,0.5081216409,0.9724404427,802.89670489,247,2.9715351777
AB,6,1201,POPU,TRE,NA,0.5081216409,0.9724404427,802.89670489,247,2.9715351777
AB,6,1203,POPU,BAL,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,6,1203,POPU,BAL,BAL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,6,1204,POPU,TRI,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,6,1205,POPU,DEL,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,6,1205,POPU,DEL,DEL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,6,1214,POPU,AGU,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,6,1303,BETU,PAP,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,6,1303,BETU,PAP,PAP,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,9,100,PICE,SPP,NA,0.4656486298,0.9774880674,648.11789774,403,4.1208626983
AB,9,101,PICE,MAR,NA,0.5810778741,0.9600529769,392.98012476,81,2.1295139966
AB,9,104,PICE,ENG,NA,0.5799296376,0.9339728907,344.45976567,5,1.7085863806
AB,9,104,PICE,ENG,GLA,0.5799296376,0.9339728907,344.45976567,5,1.7085863806
AB,9,105,PICE,GLA,NA,0.4656486298,0.9774880674,648.11789774,403,4.1208626983
AB,9,109,PICE,SPP,NA,0.4656486298,0.9774880674,648.11789774,403,4.1208626983
AB,9,200,PINU,SPP,NA,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,9,203,PINU,BAN,NA,0.4237196182,1.027396126,228.61569283,30,1.6787929615
AB,9,204,PINU,CON,NA,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,9,204,PINU,CON,LAT,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,9,206,PINU,ALB,NA,0.5947627381,0.9409838336,370.54150114,46,4.4163557979
AB,9,216,PINU,MUR,NA,0.6186204702,0.9446451189,627.71148981,759,4.1452955764
AB,9,300,ABIE,SPP,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,9,302,ABIE,BAL,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,9,304,ABIE,LAS,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,9,305,ABIE,MX2,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,9,306,ABIE,MIX,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,9,500,PSEU,MEN,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,9,500,PSEU,MEN,MEN,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,9,500,PSEU,MEN,GLA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,9,500,PSEU,SPP,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,9,600,LARI,SPP,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,9,601,LARI,DEC,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,9,602,LARI,LAR,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,9,603,LARI,OCC,NA,0.7514377801,0.9119291308,795.06432589,633,6.5472419321
AB,9,604,LARI,LYA,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,9,1150,UNKN,SPP,NA,0.615592259,0.9400894447,648.11789774,1113,6.8616032087
AB,9,1200,POPU,SPP,NA,0.5081216409,0.9724404427,802.89670489,247,2.9715351777
AB,9,1201,POPU,TRE,NA,0.5081216409,0.9724404427,802.89670489,247,2.9715351777
AB,9,1203,POPU,BAL,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,9,1203,POPU,BAL,BAL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,9,1204,POPU,TRI,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,9,1205,POPU,DEL,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,9,1205,POPU,DEL,DEL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,9,1214,POPU,AGU,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,9,1303,BETU,PAP,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,9,1303,BETU,PAP,PAP,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,9,1404,ACER,NEG,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,9,1500,GENH,SPP,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,9,1550,GENH,SPP,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,9,3500,SALI,SPP,NA,1.5118816767,0.8096994534,496.33000001,1479,12.632492979
AB,9,3508,SALI,DIS,NA,1.5118816767,0.8096994534,496.33000001,1479,12.632492979
AB,10,100,PICE,SPP,NA,0.4656486298,0.9774880674,648.11789774,403,4.1208626983
AB,10,101,PICE,MAR,NA,0.5810778741,0.9600529769,392.98012476,81,2.1295139966
AB,10,104,PICE,ENG,NA,0.4656486298,0.9774880674,648.11789774,403,4.1208626983
AB,10,104,PICE,ENG,GLA,0.4656486298,0.9774880674,648.11789774,403,4.1208626983
AB,10,105,PICE,GLA,NA,0.4656486298,0.9774880674,648.11789774,403,4.1208626983
AB,10,200,PINU,SPP,NA,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,10,203,PINU,BAN,NA,0.4237196182,1.027396126,228.61569283,30,1.6787929615
AB,10,204,PINU,CON,NA,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,10,204,PINU,CON,LAT,0.6123370957,0.9463157509,627.71148981,729,4.163993159
AB,10,213,PINU,FLE,NA,0.5947627381,0.9409838336,370.54150114,46,4.4163557979
AB,10,216,PINU,MUR,NA,0.6186204702,0.9446451189,627.71148981,759,4.1452955764
AB,10,300,ABIE,SPP,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,10,302,ABIE,BAL,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,10,304,ABIE,LAS,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,10,500,PSEU,MEN,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,10,500,PSEU,MEN,MEN,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,10,500,PSEU,MEN,GLA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,10,500,PSEU,SPP,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,10,600,LARI,SPP,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,10,602,LARI,LAR,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,10,604,LARI,LYA,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,10,1150,UNKN,SPP,NA,0.615592259,0.9400894447,648.11789774,1113,6.8616032087
AB,10,1200,POPU,SPP,NA,0.5081216409,0.9724404427,802.89670489,247,2.9715351777
AB,10,1201,POPU,TRE,NA,0.5081216409,0.9724404427,802.89670489,247,2.9715351777
AB,10,1203,POPU,BAL,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,10,1203,POPU,BAL,BAL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,10,1204,POPU,TRI,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,10,1205,POPU,DEL,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,10,1205,POPU,DEL,DEL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,10,1214,POPU,AGU,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,10,1303,BETU,PAP,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,10,1303,BETU,PAP,PAP,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,10,1404,ACER,NEG,NA,1.0534056907,0.8798041802,509.09,5790,11.017067109
AB,10,1550,GENH,SPP,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,10,3500,SALI,SPP,NA,1.5118816767,0.8096994534,496.33000001,1479,12.632492979
AB,10,3508,SALI,DIS,NA,1.5118816767,0.8096994534,496.33000001,1479,12.632492979
AB,14,100,PICE,SPP,NA,0.9306632824,0.8489509442,588.99654381,11,5.111162634
AB,14,101,PICE,MAR,NA,0.5810778741,0.9600529769,392.98012476,81,2.1295139966
AB,14,104,PICE,ENG,NA,0.9306632824,0.8489509442,588.99654381,11,5.111162634
AB,14,104,PICE,ENG,GLA,0.9306632824,0.8489509442,588.99654381,11,5.111162634
AB,14,105,PICE,GLA,NA,0.9306632824,0.8489509442,588.99654381,11,5.111162634
AB,14,109,PICE,SPP,NA,0.9306632824,0.8489509442,588.99654381,11,5.111162634
AB,14,200,PINU,SPP,NA,0.5947627381,0.9409838336,370.54150114,46,4.4163557979
AB,14,201,PINU,MON,NA,0.6256310195,0.9405395234,1504.6814376,105,9.4551966322
AB,14,203,PINU,BAN,NA,0.5947627381,0.9409838336,370.54150114,46,4.4163557979
AB,14,204,PINU,CON,NA,0.5947627381,0.9409838336,370.54150114,46,4.4163557979
AB,14,204,PINU,CON,LAT,0.5947627381,0.9409838336,370.54150114,46,4.4163557979
AB,14,206,PINU,ALB,NA,0.5947627381,0.9409838336,370.54150114,46,4.4163557979
AB,14,213,PINU,FLE,NA,0.5947627381,0.9409838336,370.54150114,46,4.4163557979
AB,14,216,PINU,MUR,NA,0.5947627381,0.9409838336,370.54150114,46,4.4163557979
AB,14,217,PINU,ALB,FLE,0.5947627381,0.9409838336,370.54150114,46,4.4163557979
AB,14,300,ABIE,SPP,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,14,302,ABIE,BAL,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,14,304,ABIE,LAS,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,14,306,ABIE,MIX,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,14,402,TSUG,HET,NA,0.4612696126,0.9878399145,2781.2295939,1950,19.893648474
AB,14,500,PSEU,MEN,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,14,500,PSEU,MEN,MEN,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,14,500,PSEU,MEN,GLA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,14,500,PSEU,SPP,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,14,600,LARI,SPP,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,14,602,LARI,LAR,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,14,603,LARI,OCC,NA,0.7514377801,0.9119291308,795.06432589,633,6.5472419321
AB,14,604,LARI,LYA,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,14,702,THUJ,PLI,NA,0.7853899398,0.8932371295,5154.3458716,1904,41.19976627
AB,14,1150,UNKN,SPP,NA,0.77203028,0.8928110853,588.99654381,63,8.761811429
AB,14,1200,POPU,SPP,NA,0.2295551448,1.1039635523,343.34153688,9,10.29664219
AB,14,1201,POPU,TRE,NA,0.2295551448,1.1039635523,343.34153688,9,10.29664219
AB,14,1203,POPU,BAL,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,14,1203,POPU,BAL,BAL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,14,1204,POPU,TRI,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,14,1205,POPU,DEL,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,14,1205,POPU,DEL,DEL,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,14,1214,POPU,AGU,NA,0.5504656975,0.9447731151,504.07910798,36,3.7459103419
AB,14,1303,BETU,PAP,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,14,1303,BETU,PAP,PAP,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,14,1404,ACER,NEG,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,14,1550,GENH,SPP,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,14,3500,SALI,SPP,NA,0.8494557916,0.9064002536,187.50573097,7,10.56160589
BC,4,100,PICE,SPP,NA,0.8776296948,0.8557170242,762.59457018,743,7.4619660133
BC,4,101,PICE,MAR,NA,0.6464217552,0.94041520729999994,257.35412127,49,3.7640302454
BC,4,104,PICE,ENG,NA,0.8776296948,0.8557170242,762.59457018,743,7.4619660133
BC,4,104,PICE,ENG,GLA,0.8776296948,0.8557170242,762.59457018,743,7.4619660133
BC,4,105,PICE,GLA,NA,0.8776296948,0.8557170242,762.59457018,743,7.4619660133
BC,4,111,PICE,LUT,X,0.8776296948,0.8557170242,762.59457018,743,7.4619660133
BC,4,111,PICE,LUT,NA,0.8776296948,0.8557170242,762.59457018,743,7.4619660133
BC,4,200,PINU,SPP,NA,1.1152447336,0.8416905474,568.79515544,165,5.3079718869
BC,4,203,PINU,BAN,NA,1.1152447336,0.8416905474,568.79515544,165,5.3079718869
BC,4,204,PINU,CON,NA,1.1152447336,0.8416905474,568.79515544,165,5.3079718869
BC,4,204,PINU,CON,LAT,1.1152447336,0.8416905474,568.79515544,165,5.3079718869
BC,4,206,PINU,ALB,NA,0.7547922756,0.8908998489,529.17971886,107,4.543292149
BC,4,208,PINU,PON,NA,0.6517911972,0.9443979668,831.22503028,273,4.6881197527
BC,4,213,PINU,FLE,NA,0.7547922756,0.8908998489,529.17971886,107,4.543292149
BC,4,300,ABIE,SPP,NA,0.6212360001,0.927453321,266.2594042,12,7.7782060188
BC,4,301,ABIE,AMA,NA,0.6212360001,0.927453321,266.2594042,12,7.7782060188
BC,4,302,ABIE,BAL,NA,0.6212360001,0.927453321,266.2594042,12,7.7782060188
BC,4,304,ABIE,LAS,NA,0.6212360001,0.927453321,266.2594042,12,7.7782060188
BC,4,308,ABIE,BIF,NA,0.6212360001,0.927453321,266.2594042,12,7.7782060188
BC,4,400,TSUG,SPP,NA,0.4661424132,0.9851724247,1390.6147969,1952,10.732122853
BC,4,402,TSUG,HET,NA,0.4661424132,0.9851724247,1390.6147969,1952,10.732122853
BC,4,403,TSUG,MER,NA,0.4661424132,0.9851724247,1390.6147969,1952,10.732122853
BC,4,404,TSUG,MER,HET,0.4661424132,0.9851724247,1390.6147969,1952,10.732122853
BC,4,500,PSEU,MEN,NA,0.6149554653,0.9444568081,1855.6885895,7492,7.9877749573
BC,4,500,PSEU,MEN,MEN,0.6149554653,0.9444568081,1855.6885895,7492,7.9877749573
BC,4,500,PSEU,MEN,GLA,0.6149554653,0.9444568081,1855.6885895,7492,7.9877749573
BC,4,500,PSEU,SPP,NA,0.6149554653,0.9444568081,1855.6885895,7492,7.9877749573
BC,4,600,LARI,SPP,NA,0.7389405759,0.899036818,72.27241858,15,0.620143251
BC,4,602,LARI,LAR,NA,0.7389405759,0.899036818,72.27241858,15,0.620143251
BC,4,603,LARI,OCC,NA,0.7389405759,0.899036818,72.27241858,15,0.620143251
BC,4,604,LARI,LYA,NA,0.7389405759,0.899036818,72.27241858,15,0.620143251
BC,4,700,THUJ,SPP,NA,0.7017626763,0.9011009862,2571.7093279,1904,19.961870963
BC,4,702,THUJ,PLI,NA,0.7017626763,0.9011009862,2571.7093279,1904,19.961870963
BC,4,901,TAXU,BRE,NA,0.7017626763,0.9011009862,2571.7093279,1904,19.961870963
BC,4,1100,GENC,SPP,NA,0.8776296948,0.8557170242,762.59457018,743,7.4619660133
BC,4,1200,POPU,SPP,NA,1.0416680389,0.8454323819,804.52699911,412,5.7471348052
BC,4,1201,POPU,TRE,NA,1.0416680389,0.8454323819,804.52699911,412,5.7471348052
BC,4,1203,POPU,BAL,NA,1.0715732086,0.8316357532,1054.2821665,147,7.6402250549
BC,4,1203,POPU,BAL,BAL,1.0715732086,0.8316357532,1054.2821665,147,7.6402250549
BC,4,1204,POPU,TRI,NA,1.0715732086,0.8316357532,1054.2821665,147,7.6402250549
BC,4,1300,BETU,SPP,NA,1.4789999966,0.8220785171,454.14807021,103,9.9886867049
BC,4,1303,BETU,PAP,NA,1.4789999966,0.8220785171,454.14807021,103,9.9886867049
BC,4,1303,BETU,PAP,PAP,1.4789999966,0.8220785171,454.14807021,103,9.9886867049
BC,4,1305,BETU,ALA,NA,1.4789999966,0.8220785171,454.14807021,103,9.9886867049
BC,4,1305,BETU,NEO,NA,1.4789999966,0.8220785171,454.14807021,103,9.9886867049
BC,4,1308,BETU,PAP,NEO,1.4789999966,0.8220785171,454.14807021,103,9.9886867049
BC,4,1314,BETU,OCC,NA,1.4789999966,0.8220785171,454.14807021,103,9.9886867049
BC,4,1400,ACER,SPP,NA,0.5952445354,0.9594606368,1286.0246106,36,10.754055676
BC,4,1403,ACER,MAC,NA,0.5952445354,0.9594606368,1286.0246106,36,10.754055676
BC,4,1420,ACER,CIR,NA,0.5952445354,0.9594606368,1286.0246106,36,10.754055676
BC,4,1500,GENH,SPP,NA,0.5414072897,0.9601382217,1074.6115577,223,9.3420711475
BC,4,1800,ALNU,SPP,NA,0.5414072897,0.9601382217,1074.6115577,223,9.3420711475
BC,4,1802,ALNU,RUB,NA,0.5414072897,0.9601382217,1074.6115577,223,9.3420711475
BC,4,2100,QUER,SPP,NA,0.5952445354,0.9594606368,1286.0246106,36,10.754055676
BC,4,2803,PRUN,EMA,NA,0.5414072897,0.9601382217,1074.6115577,223,9.3420711475
BC,4,3930,MALU,COR,NA,0.5414072897,0.9601382217,1074.6115577,223,9.3420711475
BC,4,3930,MALU,FUS,NA,0.5414072897,0.9601382217,1074.6115577,223,9.3420711475
BC,4,3930,MALU,SPP,NA,0.5414072897,0.9601382217,1074.6115577,223,9.3420711475
BC,9,100,PICE,SPP,NA,0.5362757473,0.956845414,398.34442386,10,1.3980688319
BC,9,101,PICE,MAR,NA,0.5304209791,0.9761058492,402.45365206,16,2.2313315508
BC,9,104,PICE,ENG,GLA,0.6755711703,0.9145318106,762.47661989,533,5.4799412073
BC,9,104,PICE,ENG,NA,0.6755711703,0.9145318106,762.47661989,533,5.4799412073
BC,9,105,PICE,GLA,NA,0.6755711703,0.9145318106,762.47661989,533,5.4799412073
BC,9,106,PICE,SIT,NA,0.6755711703,0.9145318106,762.47661989,533,5.4799412073
BC,9,106,PICE,SIT,X,0.6755711703,0.9145318106,762.47661989,533,5.4799412073
BC,9,111,PICE,LUT,X,0.6755711703,0.9145318106,762.47661989,533,5.4799412073
BC,9,111,PICE,LUT,NA,0.6755711703,0.9145318106,762.47661989,533,5.4799412073
BC,9,200,PINU,SPP,NA,0.8734178488,0.8858435276,602.98422592,409,5.3517145971
BC,9,203,PINU,BAN,NA,0.8734178488,0.8858435276,602.98422592,409,5.3517145971
BC,9,204,PINU,CON,NA,0.8734178488,0.8858435276,602.98422592,409,5.3517145971
BC,9,204,PINU,CON,LAT,0.8734178488,0.8858435276,602.98422592,409,5.3517145971
BC,9,206,PINU,ALB,NA,0.7547922756,0.8908998489,529.17971886,107,4.543292149
BC,9,208,PINU,PON,NA,0.6517911972,0.9443979668,831.22503028,273,4.6881197527
BC,9,213,PINU,FLE,NA,0.7547922756,0.8908998489,529.17971886,107,4.543292149
BC,9,300,ABIE,SPP,NA,0.6212360001,0.927453321,266.2594042,12,7.7782060188
BC,9,301,ABIE,AMA,NA,0.6212360001,0.927453321,266.2594042,12,7.7782060188
BC,9,302,ABIE,BAL,NA,0.6212360001,0.927453321,266.2594042,12,7.7782060188
BC,9,304,ABIE,LAS,NA,0.6212360001,0.927453321,266.2594042,12,7.7782060188
BC,9,308,ABIE,BIF,NA,0.6212360001,0.927453321,266.2594042,12,7.7782060188
BC,9,400,TSUG,SPP,NA,0.4661424132,0.9851724247,1390.6147969,1952,10.732122853
BC,9,402,TSUG,HET,NA,0.4661424132,0.9851724247,1390.6147969,1952,10.732122853
BC,9,403,TSUG,MER,NA,0.4661424132,0.9851724247,1390.6147969,1952,10.732122853
BC,9,404,TSUG,MER,HET,0.4661424132,0.9851724247,1390.6147969,1952,10.732122853
BC,9,500,PSEU,MEN,NA,0.6149554653,0.9444568081,1855.6885895,7492,7.9877749573
BC,9,500,PSEU,MEN,MEN,0.6149554653,0.9444568081,1855.6885895,7492,7.9877749573
BC,9,500,PSEU,MEN,GLA,0.6149554653,0.9444568081,1855.6885895,7492,7.9877749573
BC,9,500,PSEU,SPP,NA,0.6149554653,0.9444568081,1855.6885895,7492,7.9877749573
BC,9,600,LARI,SPP,NA,0.7389405759,0.899036818,72.27241858,15,0.620143251
BC,9,602,LARI,LAR,NA,0.7389405759,0.899036818,72.27241858,15,0.620143251
