juris_id,ecozone,canfi_species,genus,species,variety,a,b,k,cap,volm,count,rmse
AB,5,204,PINU,CON,NA,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
AB,5,216,PINU,MUR,NA,23.180830851,-0.855144261,0.7492695982,7.3114374716,643.08305851,33,0.05654215929999999
AB,5,300,ABIE,SPP,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,5,302,ABIE,BAL,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,5,500,PSEU,MEN,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,5,500,PSEU,MEN,MEN,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,5,500,PSEU,MEN,GLA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,5,500,PSEU,SPP,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,5,600,LARI,SPP,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,5,601,LARI,DEC,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,5,602,LARI,LAR,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,5,1200,POPU,SPP,NA,8.7372930301,-0.662743733,0.7158536827,4.1107421991,802.89670489,33,0.0842272209
AB,5,1201,POPU,TRE,NA,8.7372930301,-0.662743733,0.7158536827,4.1107421991,802.89670489,33,0.0842272209
AB,5,1203,POPU,BAL,BAL,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,5,1203,POPU,BAL,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,5,1204,POPU,TRI,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,5,1205,POPU,DEL,DEL,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,5,1205,POPU,DEL,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,5,1214,POPU,AGU,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,5,1303,BETU,PAP,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,5,1303,BETU,PAP,PAP,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,6,100,PICE,SPP,NA,1.2877105535,-0.042899264,1e-8,1.228879116,658.35024885,32,0.05123424079999999
AB,6,101,PICE,MAR,NA,11.657793836,-0.493473745,0.0607439165,5.2418972533,392.98012476,20,0.0730047875
AB,6,105,PICE,GLA,NA,1.2877105535,-0.042899264,1e-8,1.228879116,658.35024885,32,0.05123424079999999
AB,6,200,PINU,SPP,NA,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
AB,6,203,PINU,BAN,NA,14.508758905,-1.043240677,0.9305086259,4.548556252,228.61569283,12,0.0538285134
AB,6,204,PINU,CON,LAT,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
AB,6,204,PINU,CON,NA,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
AB,6,216,PINU,MUR,NA,23.180830851,-0.855144261,0.7492695982,7.3114374716,643.08305851,33,0.05654215929999999
AB,6,300,ABIE,SPP,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,6,302,ABIE,BAL,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,6,500,PSEU,MEN,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,6,500,PSEU,MEN,GLA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,6,500,PSEU,MEN,MEN,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,6,500,PSEU,SPP,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,6,600,LARI,SPP,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,6,601,LARI,DEC,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,6,602,LARI,LAR,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,6,1200,POPU,SPP,NA,8.7372930301,-0.662743733,0.7158536827,4.1107421991,802.89670489,33,0.0842272209
AB,6,1201,POPU,TRE,NA,8.7372930301,-0.662743733,0.7158536827,4.1107421991,802.89670489,33,0.0842272209
AB,6,1203,POPU,BAL,BAL,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,6,1203,POPU,BAL,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,6,1204,POPU,TRI,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,6,1205,POPU,DEL,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,6,1205,POPU,DEL,DEL,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,6,1214,POPU,AGU,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,6,1303,BETU,PAP,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,6,1303,BETU,PAP,PAP,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,9,100,PICE,SPP,NA,1.2877105535,-0.042899264,1e-8,1.228879116,658.35024885,32,0.05123424079999999
AB,9,101,PICE,MAR,NA,11.657793836,-0.493473745,0.0607439165,5.2418972533,392.98012476,20,0.0730047875
AB,9,104,PICE,ENG,GLA,1.2379278978,-0.032741871,1e-8,1.0912938108,344.45976567,11,0.01259299449999999
AB,9,104,PICE,ENG,NA,1.2379278978,-0.032741871,1e-8,1.0912938108,344.45976567,11,0.01259299449999999
AB,9,105,PICE,GLA,NA,1.2877105535,-0.042899264,1e-8,1.228879116,658.35024885,32,0.05123424079999999
AB,9,109,PICE,SPP,NA,1.2877105535,-0.042899264,1e-8,1.228879116,658.35024885,32,0.05123424079999999
AB,9,200,PINU,SPP,NA,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
AB,9,203,PINU,BAN,NA,14.508758905,-1.043240677,0.9305086259,4.548556252,228.61569283,12,0.0538285134
AB,9,204,PINU,CON,NA,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
AB,9,204,PINU,CON,LAT,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
AB,9,206,PINU,ALB,NA,14.303240356,-0.62988058,0.3984527681,5.4123235993,377.89513718,19,0.098253808
AB,9,216,PINU,MUR,NA,23.180830851,-0.855144261,0.7492695982,7.3114374716,643.08305851,33,0.05654215929999999
AB,9,300,ABIE,SPP,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,9,302,ABIE,BAL,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,9,304,ABIE,LAS,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,9,305,ABIE,MX2,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,9,306,ABIE,MIX,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,9,500,PSEU,MEN,MEN,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,9,500,PSEU,MEN,GLA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,9,500,PSEU,MEN,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,9,500,PSEU,SPP,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,9,600,LARI,SPP,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,9,601,LARI,DEC,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,9,602,LARI,LAR,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,9,603,LARI,OCC,NA,10.744989083,-0.46301133,0.1744027789,4.3921293665,795.06432589,34,0.1634903799
AB,9,604,LARI,LYA,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,9,1150,UNKN,SPP,NA,15.285302617,-0.725116796,0.6564656383,5.6783869873,658.35024885,33,0.077327055
AB,9,1200,POPU,SPP,NA,8.7372930301,-0.662743733,0.7158536827,4.1107421991,802.89670489,33,0.0842272209
AB,9,1201,POPU,TRE,NA,8.7372930301,-0.662743733,0.7158536827,4.1107421991,802.89670489,33,0.0842272209
AB,9,1203,POPU,BAL,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,9,1203,POPU,BAL,BAL,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,9,1204,POPU,TRI,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,9,1205,POPU,DEL,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,9,1205,POPU,DEL,DEL,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,9,1214,POPU,AGU,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,9,1303,BETU,PAP,PAP,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,9,1303,BETU,PAP,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,9,1404,ACER,NEG,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,9,1500,GENH,SPP,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,9,1550,GENH,SPP,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,9,3500,SALI,SPP,NA,22.613650576,-1.273999178,0.9814423067,1.996000608,496.33000001,23,0.0134739097
AB,9,3508,SALI,DIS,NA,22.613650576,-1.273999178,0.9814423067,1.996000608,496.33000001,23,0.0134739097
AB,10,100,PICE,SPP,NA,1.2877105535,-0.042899264,1e-8,1.228879116,658.35024885,32,0.05123424079999999
AB,10,101,PICE,MAR,NA,11.657793836,-0.493473745,0.0607439165,5.2418972533,392.98012476,20,0.0730047875
AB,10,104,PICE,ENG,GLA,1.2877105535,-0.042899264,1e-8,1.228879116,658.35024885,32,0.05123424079999999
AB,10,104,PICE,ENG,NA,1.2877105535,-0.042899264,1e-8,1.228879116,658.35024885,32,0.05123424079999999
AB,10,105,PICE,GLA,NA,1.2877105535,-0.042899264,1e-8,1.228879116,658.35024885,32,0.05123424079999999
AB,10,200,PINU,SPP,NA,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
AB,10,203,PINU,BAN,NA,14.508758905,-1.043240677,0.9305086259,4.548556252,228.61569283,12,0.0538285134
AB,10,204,PINU,CON,LAT,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
AB,10,204,PINU,CON,NA,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
AB,10,213,PINU,FLE,NA,14.303240356,-0.62988058,0.3984527681,5.4123235993,377.89513718,19,0.098253808
AB,10,216,PINU,MUR,NA,23.180830851,-0.855144261,0.7492695982,7.3114374716,643.08305851,33,0.05654215929999999
AB,10,300,ABIE,SPP,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,10,302,ABIE,BAL,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,10,304,ABIE,LAS,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,10,500,PSEU,MEN,MEN,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,10,500,PSEU,MEN,GLA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,10,500,PSEU,MEN,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,10,500,PSEU,SPP,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,10,600,LARI,SPP,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,10,602,LARI,LAR,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,10,604,LARI,LYA,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,10,1150,UNKN,SPP,NA,15.285302617,-0.725116796,0.6564656383,5.6783869873,658.35024885,33,0.077327055
AB,10,1200,POPU,SPP,NA,8.7372930301,-0.662743733,0.7158536827,4.1107421991,802.89670489,33,0.0842272209
AB,10,1201,POPU,TRE,NA,8.7372930301,-0.662743733,0.7158536827,4.1107421991,802.89670489,33,0.0842272209
AB,10,1203,POPU,BAL,BAL,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,10,1203,POPU,BAL,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,10,1204,POPU,TRI,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,10,1205,POPU,DEL,DEL,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,10,1205,POPU,DEL,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,10,1214,POPU,AGU,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,10,1303,BETU,PAP,PAP,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,10,1303,BETU,PAP,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,10,1404,ACER,NEG,NA,8.209286639,-0.937604084,0.9441136339,2.1757055543,509.09,24,0.02533570359999999
AB,10,1550,GENH,SPP,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,10,3500,SALI,SPP,NA,22.613650576,-1.273999178,0.9814423067,1.996000608,496.33000001,23,0.0134739097
AB,10,3508,SALI,DIS,NA,22.613650576,-1.273999178,0.9814423067,1.996000608,496.33000001,23,0.0134739097
AB,14,100,PICE,SPP,NA,95.025276625,-1.435452351,0.9417504845,1.3923992491,588.99654381,18,0.02287754989999999
AB,14,101,PICE,MAR,NA,11.657793836,-0.493473745,0.0607439165,5.2418972533,392.98012476,20,0.0730047875
AB,14,104,PICE,ENG,NA,95.025276625,-1.435452351,0.9417504845,1.3923992491,588.99654381,18,0.02287754989999999
AB,14,104,PICE,ENG,GLA,95.025276625,-1.435452351,0.9417504845,1.3923992491,588.99654381,18,0.02287754989999999
AB,14,105,PICE,GLA,NA,95.025276625,-1.435452351,0.9417504845,1.3923992491,588.99654381,18,0.02287754989999999
AB,14,109,PICE,SPP,NA,95.025276625,-1.435452351,0.9417504845,1.3923992491,588.99654381,18,0.02287754989999999
AB,14,200,PINU,SPP,NA,14.303240356,-0.62988058,0.3984527681,5.4123235993,377.89513718,19,0.098253808
AB,14,201,PINU,MON,NA,1.4902992256,-1e-8,1e-8,1.4902992067,1504.6814376,5,0.3948630429
AB,14,203,PINU,BAN,NA,14.303240356,-0.62988058,0.3984527681,5.4123235993,377.89513718,19,0.098253808
AB,14,204,PINU,CON,NA,14.303240356,-0.62988058,0.3984527681,5.4123235993,377.89513718,19,0.098253808
AB,14,204,PINU,CON,LAT,14.303240356,-0.62988058,0.3984527681,5.4123235993,377.89513718,19,0.098253808
AB,14,206,PINU,ALB,NA,14.303240356,-0.62988058,0.3984527681,5.4123235993,377.89513718,19,0.098253808
AB,14,213,PINU,FLE,NA,14.303240356,-0.62988058,0.3984527681,5.4123235993,377.89513718,19,0.098253808
AB,14,216,PINU,MUR,NA,14.303240356,-0.62988058,0.3984527681,5.4123235993,377.89513718,19,0.098253808
AB,14,217,PINU,ALB,FLE,14.303240356,-0.62988058,0.3984527681,5.4123235993,377.89513718,19,0.098253808
AB,14,300,ABIE,SPP,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,14,302,ABIE,BAL,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,14,304,ABIE,LAS,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,14,306,ABIE,MIX,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,14,402,TSUG,HET,NA,11.488415038,-0.636861524,0.7089974287,5.0126293064,2781.2295939,46,0.1345308569
AB,14,500,PSEU,MEN,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,14,500,PSEU,MEN,GLA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,14,500,PSEU,MEN,MEN,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,14,500,PSEU,SPP,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,14,600,LARI,SPP,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,14,602,LARI,LAR,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,14,603,LARI,OCC,NA,10.744989083,-0.46301133,0.1744027789,4.3921293665,795.06432589,34,0.1634903799
AB,14,604,LARI,LYA,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,14,702,THUJ,PLI,NA,4.4761010347,-0.665365348,0.9374459254,3.0884774154,5154.3458716,54,0.1187294783
AB,14,1150,UNKN,SPP,NA,14.863011992,-0.659137394,0.466838994,5.4293269865,588.99654381,24,0.0965261261
AB,14,1200,POPU,SPP,NA,31.614783434,-0.929572214,0.5035654706,4.8645161915,343.34153688,11,0.2760909904
AB,14,1201,POPU,TRE,NA,31.614783434,-0.929572214,0.5035654706,4.8645161915,343.34153688,11,0.2760909904
AB,14,1203,POPU,BAL,BAL,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,14,1203,POPU,BAL,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,14,1204,POPU,TRI,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,14,1205,POPU,DEL,DEL,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,14,1205,POPU,DEL,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,14,1214,POPU,AGU,NA,1.6864362939,-0.104293488,1e-8,1.5402607704,504.07910798,24,0.1176998073
AB,14,1303,BETU,PAP,PAP,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,14,1303,BETU,PAP,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,14,1404,ACER,NEG,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,14,1550,GENH,SPP,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,14,3500,SALI,SPP,NA,39.109885028,-1.096166705,1.0395380127,10,187.50573097,6,0.5531057976
BC,4,100,PICE,SPP,NA,15.064863625,-1.072076004,1.0569739943,5.1694150465,762.59457018,23,0.2102293749
BC,4,101,PICE,MAR,NA,78.941349805,-1.148613366,1.0090600029,8.7870935795,257.35412127,9,0.3897963516
BC,4,104,PICE,ENG,NA,15.064863625,-1.072076004,1.0569739943,5.1694150465,762.59457018,23,0.2102293749
BC,4,104,PICE,ENG,GLA,15.064863625,-1.072076004,1.0569739943,5.1694150465,762.59457018,23,0.2102293749
BC,4,105,PICE,GLA,NA,15.064863625,-1.072076004,1.0569739943,5.1694150465,762.59457018,23,0.2102293749
BC,4,111,PICE,LUT,NA,15.064863625,-1.072076004,1.0569739943,5.1694150465,762.59457018,23,0.2102293749
BC,4,111,PICE,LUT,X,15.064863625,-1.072076004,1.0569739943,5.1694150465,762.59457018,23,0.2102293749
BC,4,200,PINU,SPP,NA,20.603696998,-0.586169305,9.9e-9,5.5672784776,568.79515544,9,0.5511893649
BC,4,203,PINU,BAN,NA,20.603696998,-0.586169305,9.9e-9,5.5672784776,568.79515544,9,0.5511893649
BC,4,204,PINU,CON,NA,20.603696998,-0.586169305,9.9e-9,5.5672784776,568.79515544,9,0.5511893649
BC,4,204,PINU,CON,LAT,20.603696998,-0.586169305,9.9e-9,5.5672784776,568.79515544,9,0.5511893649
BC,4,206,PINU,ALB,NA,20.603696998,-0.586169305,9.9e-9,5.5672784776,568.79515544,9,0.5511893649
BC,4,208,PINU,PON,NA,99.99999999,-1.904928107,1.0243772058,2.7774168809,831.22503028,19,0.0857561571
BC,4,213,PINU,FLE,NA,20.603696998,-0.586169305,9.9e-9,5.5672784776,568.79515544,9,0.5511893649
BC,4,300,ABIE,SPP,NA,85.285011388,-1.100905919,1e-8,2.7868553497,266.2594042,2,3.242461e-11
BC,4,301,ABIE,AMA,NA,85.285011388,-1.100905919,1e-8,2.7868553497,266.2594042,2,3.242461e-11
BC,4,302,ABIE,BAL,NA,85.285011388,-1.100905919,1e-8,2.7868553497,266.2594042,2,3.242461e-11
BC,4,304,ABIE,LAS,NA,85.285011388,-1.100905919,1e-8,2.7868553497,266.2594042,2,3.242461e-11
BC,4,308,ABIE,BIF,NA,85.285011388,-1.100905919,1e-8,2.7868553497,266.2594042,2,3.242461e-11
BC,4,400,TSUG,SPP,NA,16.232547509,-0.700629227,0.7040288131,5.9722648521,1390.6147969,46,0.1567960521
BC,4,402,TSUG,HET,NA,16.232547509,-0.700629227,0.7040288131,5.9722648521,1390.6147969,46,0.1567960521
BC,4,403,TSUG,MER,NA,16.232547509,-0.700629227,0.7040288131,5.9722648521,1390.6147969,46,0.1567960521
BC,4,404,TSUG,MER,HET,16.232547509,-0.700629227,0.7040288131,5.9722648521,1390.6147969,46,0.1567960521
BC,4,500,PSEU,MEN,NA,15.609250245,-0.987997507,0.9965617944,3.6532915723,1855.6885895,54,0.0258711995
BC,4,500,PSEU,MEN,MEN,15.609250245,-0.987997507,0.9965617944,3.6532915723,1855.6885895,54,0.0258711995
